motifs	cluster
filter0	1
filter1	13
filter10	100
filter100	115
filter101	98
filter102	51
filter103	67
filter104	43
filter105	77
filter106	78
filter107	2
filter108	65
filter109	92
filter11	22
filter110	108
filter111	31
filter112	68
filter113	99
filter114	96
filter115	44
filter116	10
filter117	73
filter118	45
filter119	35
filter12	8
filter120	30
filter121	6
filter122	81
filter123	28
filter124	47
filter125	5
filter126	82
filter127	29
filter13	1
filter14	63
filter15	55
filter16	97
filter17	28
filter18	6
filter19	17
filter2	50
filter20	7
filter21	79
filter22	20
filter23	106
filter24	19
filter25	69
filter26	94
filter27	41
filter28	3
filter29	102
filter3	46
filter30	110
filter31	93
filter32	23
filter33	103
filter34	86
filter35	7
filter36	18
filter37	57
filter38	42
filter39	4
filter4	88
filter40	52
filter41	107
filter42	84
filter43	70
filter44	66
filter45	113
filter46	16
filter47	26
filter48	61
filter49	104
filter5	89
filter50	59
filter51	111
filter52	62
filter53	114
filter54	105
filter55	24
filter56	75
filter57	109
filter58	53
filter59	10
filter6	80
filter60	4
filter61	90
filter62	101
filter63	15
filter64	95
filter65	29
filter66	83
filter67	32
filter68	76
filter69	116
filter7	14
filter70	39
filter71	33
filter72	11
filter73	91
filter74	37
filter75	86
filter76	38
filter77	5
filter78	14
filter79	3
filter8	40
filter80	74
filter81	25
filter82	112
filter83	56
filter84	60
filter85	58
filter86	27
filter87	25
filter88	9
filter89	21
filter9	48
filter90	71
filter91	49
filter92	34
filter93	36
filter94	72
filter95	12
filter96	85
filter97	87
filter98	54
filter99	64
