motifs	cluster
filter0	56
filter1	3
filter10	3
filter100	39
filter101	27
filter102	16
filter103	62
filter104	19
filter105	7
filter106	44
filter107	5
filter108	10
filter109	67
filter11	23
filter110	56
filter111	22
filter112	38
filter113	22
filter114	61
filter115	32
filter116	42
filter117	50
filter118	48
filter119	54
filter12	56
filter120	1
filter121	28
filter122	33
filter123	9
filter124	22
filter125	12
filter126	72
filter127	4
filter13	55
filter14	26
filter15	40
filter16	49
filter17	33
filter18	38
filter19	66
filter2	36
filter20	40
filter21	29
filter22	42
filter23	37
filter24	47
filter25	35
filter26	75
filter27	74
filter28	18
filter29	31
filter3	7
filter30	2
filter31	33
filter32	36
filter33	20
filter34	64
filter35	41
filter36	32
filter37	71
filter38	19
filter39	13
filter4	58
filter40	59
filter41	67
filter42	17
filter43	21
filter44	6
filter45	69
filter46	73
filter47	63
filter48	65
filter49	54
filter5	30
filter50	3
filter51	70
filter52	67
filter53	76
filter54	34
filter55	34
filter56	35
filter57	75
filter58	3
filter59	56
filter6	3
filter60	11
filter61	10
filter62	45
filter63	71
filter64	53
filter65	66
filter66	15
filter67	8
filter68	41
filter69	45
filter7	14
filter70	68
filter71	1
filter72	1
filter73	77
filter74	60
filter75	61
filter76	8
filter77	2
filter78	1
filter79	50
filter8	62
filter80	69
filter81	53
filter82	43
filter83	4
filter84	51
filter85	3
filter86	25
filter87	46
filter88	26
filter89	49
filter9	52
filter90	60
filter91	45
filter92	73
filter93	48
filter94	47
filter95	24
filter96	1
filter97	9
filter98	14
filter99	57
