motifs	cluster
T95R-WT.1_filter0	100
T95R-WT.1_filter1	21
T95R-WT.1_filter10	27
T95R-WT.1_filter100	53
T95R-WT.1_filter101	2
T95R-WT.1_filter102	10
T95R-WT.1_filter103	13
T95R-WT.1_filter104	16
T95R-WT.1_filter105	19
T95R-WT.1_filter106	93
T95R-WT.1_filter107	122
T95R-WT.1_filter108	122
T95R-WT.1_filter109	115
T95R-WT.1_filter11	71
T95R-WT.1_filter110	65
T95R-WT.1_filter111	6
T95R-WT.1_filter112	50
T95R-WT.1_filter113	98
T95R-WT.1_filter114	20
T95R-WT.1_filter115	108
T95R-WT.1_filter116	67
T95R-WT.1_filter117	123
T95R-WT.1_filter118	72
T95R-WT.1_filter119	73
T95R-WT.1_filter12	98
T95R-WT.1_filter120	77
T95R-WT.1_filter121	41
T95R-WT.1_filter122	44
T95R-WT.1_filter123	4
T95R-WT.1_filter124	35
T95R-WT.1_filter125	108
T95R-WT.1_filter126	60
T95R-WT.1_filter127	16
T95R-WT.1_filter13	78
T95R-WT.1_filter14	45
T95R-WT.1_filter15	116
T95R-WT.1_filter16	68
T95R-WT.1_filter17	35
T95R-WT.1_filter18	107
T95R-WT.1_filter19	41
T95R-WT.1_filter2	117
T95R-WT.1_filter20	52
T95R-WT.1_filter21	85
T95R-WT.1_filter22	123
T95R-WT.1_filter23	20
T95R-WT.1_filter24	121
T95R-WT.1_filter25	1
T95R-WT.1_filter26	21
T95R-WT.1_filter27	18
T95R-WT.1_filter28	123
T95R-WT.1_filter29	79
T95R-WT.1_filter3	120
T95R-WT.1_filter30	105
T95R-WT.1_filter31	102
T95R-WT.1_filter32	19
T95R-WT.1_filter33	36
T95R-WT.1_filter34	105
T95R-WT.1_filter35	106
T95R-WT.1_filter36	15
T95R-WT.1_filter37	1
T95R-WT.1_filter38	22
T95R-WT.1_filter39	4
T95R-WT.1_filter4	60
T95R-WT.1_filter40	20
T95R-WT.1_filter41	123
T95R-WT.1_filter42	25
T95R-WT.1_filter43	94
T95R-WT.1_filter44	22
T95R-WT.1_filter45	23
T95R-WT.1_filter46	22
T95R-WT.1_filter47	54
T95R-WT.1_filter48	11
T95R-WT.1_filter49	24
T95R-WT.1_filter5	69
T95R-WT.1_filter50	67
T95R-WT.1_filter51	18
T95R-WT.1_filter52	80
T95R-WT.1_filter53	2
T95R-WT.1_filter54	59
T95R-WT.1_filter55	83
T95R-WT.1_filter56	98
T95R-WT.1_filter57	8
T95R-WT.1_filter58	54
T95R-WT.1_filter59	118
T95R-WT.1_filter6	81
T95R-WT.1_filter60	2
T95R-WT.1_filter61	33
T95R-WT.1_filter62	111
T95R-WT.1_filter63	111
T95R-WT.1_filter64	52
T95R-WT.1_filter65	91
T95R-WT.1_filter66	120
T95R-WT.1_filter67	4
T95R-WT.1_filter68	24
T95R-WT.1_filter69	104
T95R-WT.1_filter7	59
T95R-WT.1_filter70	108
T95R-WT.1_filter71	2
T95R-WT.1_filter72	26
T95R-WT.1_filter73	123
T95R-WT.1_filter74	106
T95R-WT.1_filter75	110
T95R-WT.1_filter76	28
T95R-WT.1_filter77	10
T95R-WT.1_filter78	28
T95R-WT.1_filter79	2
T95R-WT.1_filter8	19
T95R-WT.1_filter80	34
T95R-WT.1_filter81	104
T95R-WT.1_filter82	43
T95R-WT.1_filter83	114
T95R-WT.1_filter84	116
T95R-WT.1_filter85	9
T95R-WT.1_filter86	61
T95R-WT.1_filter87	94
T95R-WT.1_filter88	2
T95R-WT.1_filter89	63
T95R-WT.1_filter9	21
T95R-WT.1_filter90	21
T95R-WT.1_filter91	2
T95R-WT.1_filter92	1
T95R-WT.1_filter93	32
T95R-WT.1_filter94	12
T95R-WT.1_filter95	17
T95R-WT.1_filter96	123
T95R-WT.1_filter97	74
T95R-WT.1_filter98	12
T95R-WT.1_filter99	86
T95R.1_filter0	2
T95R.1_filter1	110
T95R.1_filter10	103
T95R.1_filter100	14
T95R.1_filter101	3
T95R.1_filter102	121
T95R.1_filter103	49
T95R.1_filter104	29
T95R.1_filter105	99
T95R.1_filter106	99
T95R.1_filter107	2
T95R.1_filter108	63
T95R.1_filter109	6
T95R.1_filter11	115
T95R.1_filter110	13
T95R.1_filter111	3
T95R.1_filter112	84
T95R.1_filter113	87
T95R.1_filter114	111
T95R.1_filter115	53
T95R.1_filter116	122
T95R.1_filter117	64
T95R.1_filter118	8
T95R.1_filter119	39
T95R.1_filter12	23
T95R.1_filter120	3
T95R.1_filter121	1
T95R.1_filter122	40
T95R.1_filter123	7
T95R.1_filter124	75
T95R.1_filter125	1
T95R.1_filter126	92
T95R.1_filter127	3
T95R.1_filter13	2
T95R.1_filter14	12
T95R.1_filter15	100
T95R.1_filter16	111
T95R.1_filter17	7
T95R.1_filter18	1
T95R.1_filter19	89
T95R.1_filter2	113
T95R.1_filter20	2
T95R.1_filter21	90
T95R.1_filter22	58
T95R.1_filter23	45
T95R.1_filter24	89
T95R.1_filter25	65
T95R.1_filter26	93
T95R.1_filter27	52
T95R.1_filter28	2
T95R.1_filter29	25
T95R.1_filter3	19
T95R.1_filter30	9
T95R.1_filter31	6
T95R.1_filter32	48
T95R.1_filter33	5
T95R.1_filter34	4
T95R.1_filter35	2
T95R.1_filter36	89
T95R.1_filter37	97
T95R.1_filter38	96
T95R.1_filter39	1
T95R.1_filter4	46
T95R.1_filter40	116
T95R.1_filter41	66
T95R.1_filter42	94
T95R.1_filter43	17
T95R.1_filter44	55
T95R.1_filter45	8
T95R.1_filter46	11
T95R.1_filter47	109
T95R.1_filter48	106
T95R.1_filter49	94
T95R.1_filter5	46
T95R.1_filter50	101
T95R.1_filter51	9
T95R.1_filter52	119
T95R.1_filter53	8
T95R.1_filter54	25
T95R.1_filter55	48
T95R.1_filter56	38
T95R.1_filter57	11
T95R.1_filter58	114
T95R.1_filter59	122
T95R.1_filter6	102
T95R.1_filter60	1
T95R.1_filter61	5
T95R.1_filter62	103
T95R.1_filter63	123
T95R.1_filter64	93
T95R.1_filter65	3
T95R.1_filter66	40
T95R.1_filter67	10
T95R.1_filter68	21
T95R.1_filter69	6
T95R.1_filter7	123
T95R.1_filter70	65
T95R.1_filter71	57
