motifs	cluster
T95R.1_filter0	1
T95R.1_filter1	10
T95R.1_filter10	55
T95R.1_filter100	32
T95R.1_filter101	14
T95R.1_filter102	36
T95R.1_filter103	33
T95R.1_filter104	27
T95R.1_filter105	62
T95R.1_filter106	62
T95R.1_filter107	1
T95R.1_filter108	16
T95R.1_filter109	53
T95R.1_filter11	38
T95R.1_filter110	13
T95R.1_filter111	39
T95R.1_filter112	26
T95R.1_filter113	40
T95R.1_filter114	47
T95R.1_filter115	70
T95R.1_filter116	3
T95R.1_filter117	5
T95R.1_filter118	42
T95R.1_filter119	66
T95R.1_filter12	2
T95R.1_filter120	39
T95R.1_filter121	1
T95R.1_filter122	57
T95R.1_filter123	41
T95R.1_filter124	25
T95R.1_filter125	1
T95R.1_filter126	68
T95R.1_filter127	39
T95R.1_filter13	1
T95R.1_filter14	82
T95R.1_filter15	47
T95R.1_filter16	47
T95R.1_filter17	41
T95R.1_filter18	1
T95R.1_filter19	45
T95R.1_filter2	50
T95R.1_filter20	2
T95R.1_filter21	63
T95R.1_filter22	15
T95R.1_filter23	77
T95R.1_filter24	45
T95R.1_filter25	51
T95R.1_filter26	61
T95R.1_filter27	79
T95R.1_filter28	1
T95R.1_filter29	78
T95R.1_filter3	25
T95R.1_filter30	43
T95R.1_filter31	53
T95R.1_filter32	9
T95R.1_filter33	53
T95R.1_filter34	51
T95R.1_filter35	2
T95R.1_filter36	45
T95R.1_filter37	73
T95R.1_filter38	76
T95R.1_filter39	1
T95R.1_filter4	65
T95R.1_filter40	48
T95R.1_filter41	56
T95R.1_filter42	74
T95R.1_filter43	60
T95R.1_filter44	29
T95R.1_filter45	42
T95R.1_filter46	18
T95R.1_filter47	35
T95R.1_filter48	71
T95R.1_filter49	52
T95R.1_filter5	65
T95R.1_filter50	59
T95R.1_filter51	43
T95R.1_filter52	71
T95R.1_filter53	44
T95R.1_filter54	78
T95R.1_filter55	9
T95R.1_filter56	69
T95R.1_filter57	13
T95R.1_filter58	37
T95R.1_filter59	3
T95R.1_filter6	46
T95R.1_filter60	1
T95R.1_filter61	53
T95R.1_filter62	55
T95R.1_filter63	4
T95R.1_filter64	61
T95R.1_filter65	39
T95R.1_filter66	57
T95R.1_filter67	39
T95R.1_filter68	31
T95R.1_filter69	67
T95R.1_filter7	4
T95R.1_filter70	75
T95R.1_filter71	72
T95R.1_filter72	3
T95R.1_filter73	53
T95R.1_filter74	58
T95R.1_filter75	51
T95R.1_filter76	72
T95R.1_filter77	1
T95R.1_filter78	4
T95R.1_filter79	1
T95R.1_filter8	75
T95R.1_filter80	5
T95R.1_filter81	34
T95R.1_filter82	81
T95R.1_filter83	54
T95R.1_filter84	59
T95R.1_filter85	73
T95R.1_filter86	35
T95R.1_filter87	34
T95R.1_filter88	2
T95R.1_filter89	14
T95R.1_filter9	50
T95R.1_filter90	64
T95R.1_filter91	50
T95R.1_filter92	72
T95R.1_filter93	66
T95R.1_filter94	12
T95R.1_filter95	3
T95R.1_filter96	6
T95R.1_filter97	54
T95R.1_filter98	37
T95R.1_filter99	82
WT.1_filter0	1
WT.1_filter1	4
WT.1_filter10	4
WT.1_filter100	63
WT.1_filter101	19
WT.1_filter102	79
WT.1_filter103	50
WT.1_filter104	11
WT.1_filter105	67
WT.1_filter106	77
WT.1_filter107	68
WT.1_filter108	52
WT.1_filter109	58
WT.1_filter11	44
WT.1_filter110	1
WT.1_filter111	42
WT.1_filter112	45
WT.1_filter113	42
WT.1_filter114	49
WT.1_filter115	41
WT.1_filter116	54
WT.1_filter117	36
WT.1_filter118	30
WT.1_filter119	31
WT.1_filter12	1
WT.1_filter120	3
WT.1_filter121	17
WT.1_filter122	53
WT.1_filter123	67
WT.1_filter124	42
WT.1_filter125	12
WT.1_filter126	64
WT.1_filter127	68
WT.1_filter13	26
WT.1_filter14	44
WT.1_filter15	45
WT.1_filter16	74
WT.1_filter17	53
WT.1_filter18	62
WT.1_filter19	54
WT.1_filter2	82
WT.1_filter20	45
WT.1_filter21	32
WT.1_filter22	33
WT.1_filter23	81
WT.1_filter24	28
WT.1_filter25	58
WT.1_filter26	80
WT.1_filter27	80
WT.1_filter28	70
WT.1_filter29	23
WT.1_filter3	67
WT.1_filter30	4
WT.1_filter31	53
WT.1_filter32	83
WT.1_filter33	38
WT.1_filter34	60
WT.1_filter35	61
WT.1_filter36	41
WT.1_filter37	64
WT.1_filter38	11
WT.1_filter39	8
WT.1_filter4	48
WT.1_filter40	20
WT.1_filter41	58
WT.1_filter42	11
WT.1_filter43	66
WT.1_filter44	68
WT.1_filter45	65
WT.1_filter46	46
WT.1_filter47	35
WT.1_filter48	61
WT.1_filter49	31
WT.1_filter5	21
WT.1_filter50	4
WT.1_filter51	55
WT.1_filter52	58
WT.1_filter53	48
WT.1_filter54	6
WT.1_filter55	53
WT.1_filter56	82
WT.1_filter57	72
WT.1_filter58	4
WT.1_filter59	1
WT.1_filter6	4
WT.1_filter60	52
WT.1_filter61	52
WT.1_filter62	39
WT.1_filter63	64
WT.1_filter64	41
WT.1_filter65	59
WT.1_filter66	7
WT.1_filter67	29
WT.1_filter68	71
WT.1_filter69	39
WT.1_filter7	6
WT.1_filter70	58
WT.1_filter71	3
WT.1_filter72	3
WT.1_filter73	63
WT.1_filter74	34
WT.1_filter75	49
WT.1_filter76	69
WT.1_filter77	4
WT.1_filter78	3
WT.1_filter79	36
WT.1_filter8	50
WT.1_filter80	65
WT.1_filter81	22
WT.1_filter82	47
WT.1_filter83	16
WT.1_filter84	10
WT.1_filter85	4
WT.1_filter86	42
WT.1_filter87	15
WT.1_filter88	44
WT.1_filter89	50
WT.1_filter9	24
WT.1_filter90	34
WT.1_filter91	39
WT.1_filter92	46
WT.1_filter93	30
WT.1_filter94	28
WT.1_filter95	44
WT.1_filter96	3
WT.1_filter97	52
WT.1_filter98	6
WT.1_filter99	37
