motifs	cluster
T95R.1_filter0	1
T95R.1_filter1	3
T95R.1_filter10	45
T95R.1_filter100	51
T95R.1_filter101	44
T95R.1_filter102	19
T95R.1_filter103	28
T95R.1_filter104	15
T95R.1_filter105	36
T95R.1_filter106	36
T95R.1_filter107	1
T95R.1_filter108	27
T95R.1_filter109	42
T95R.1_filter11	6
T95R.1_filter110	48
T95R.1_filter111	10
T95R.1_filter112	29
T95R.1_filter113	44
T95R.1_filter114	43
T95R.1_filter115	16
T95R.1_filter116	3
T95R.1_filter117	34
T95R.1_filter118	17
T95R.1_filter119	12
T95R.1_filter12	2
T95R.1_filter120	10
T95R.1_filter121	1
T95R.1_filter122	38
T95R.1_filter123	9
T95R.1_filter124	18
T95R.1_filter125	1
T95R.1_filter126	38
T95R.1_filter127	10
T95R.1_filter13	1
T95R.1_filter14	26
T95R.1_filter15	22
T95R.1_filter16	43
T95R.1_filter17	9
T95R.1_filter18	1
T95R.1_filter19	5
T95R.1_filter2	19
T95R.1_filter20	2
T95R.1_filter21	37
T95R.1_filter22	6
T95R.1_filter23	47
T95R.1_filter24	5
T95R.1_filter25	30
T95R.1_filter26	43
T95R.1_filter27	14
T95R.1_filter28	1
T95R.1_filter29	46
T95R.1_filter3	17
T95R.1_filter30	49
T95R.1_filter31	42
T95R.1_filter32	7
T95R.1_filter33	46
T95R.1_filter34	40
T95R.1_filter35	2
T95R.1_filter36	5
T95R.1_filter37	23
T95R.1_filter38	14
T95R.1_filter39	1
T95R.1_filter4	41
T95R.1_filter40	20
T95R.1_filter41	47
T95R.1_filter42	39
T95R.1_filter43	31
T95R.1_filter44	27
T95R.1_filter45	50
T95R.1_filter46	4
T95R.1_filter47	8
T95R.1_filter48	25
T95R.1_filter49	46
T95R.1_filter5	41
T95R.1_filter50	24
T95R.1_filter51	49
T95R.1_filter52	25
T95R.1_filter53	50
T95R.1_filter54	46
T95R.1_filter55	7
T95R.1_filter56	35
T95R.1_filter57	48
T95R.1_filter58	21
T95R.1_filter59	3
T95R.1_filter6	37
T95R.1_filter60	1
T95R.1_filter61	42
T95R.1_filter62	45
T95R.1_filter63	4
T95R.1_filter64	43
T95R.1_filter65	10
T95R.1_filter66	38
T95R.1_filter67	10
T95R.1_filter68	35
T95R.1_filter69	51
T95R.1_filter7	4
T95R.1_filter70	13
T95R.1_filter71	11
T95R.1_filter72	3
T95R.1_filter73	42
T95R.1_filter74	12
T95R.1_filter75	40
T95R.1_filter76	12
T95R.1_filter77	1
T95R.1_filter78	4
T95R.1_filter79	1
T95R.1_filter8	13
T95R.1_filter80	34
T95R.1_filter81	8
T95R.1_filter82	49
T95R.1_filter83	22
T95R.1_filter84	24
T95R.1_filter85	23
T95R.1_filter86	8
T95R.1_filter87	8
T95R.1_filter88	2
T95R.1_filter89	6
T95R.1_filter9	19
T95R.1_filter90	32
T95R.1_filter91	19
T95R.1_filter92	11
T95R.1_filter93	12
T95R.1_filter94	33
T95R.1_filter95	3
T95R.1_filter96	39
T95R.1_filter97	40
T95R.1_filter98	21
T95R.1_filter99	26
