motifs	cluster
WT.1_filter0	85
WT.1_filter1	9
WT.1_filter10	6
WT.1_filter100	59
WT.1_filter101	42
WT.1_filter102	28
WT.1_filter103	93
WT.1_filter104	31
WT.1_filter105	14
WT.1_filter106	66
WT.1_filter107	12
WT.1_filter108	20
WT.1_filter109	102
WT.1_filter11	37
WT.1_filter110	85
WT.1_filter111	36
WT.1_filter112	57
WT.1_filter113	35
WT.1_filter114	91
WT.1_filter115	47
WT.1_filter116	63
WT.1_filter117	75
WT.1_filter118	71
WT.1_filter119	81
WT.1_filter12	84
WT.1_filter120	3
WT.1_filter121	43
WT.1_filter122	49
WT.1_filter123	18
WT.1_filter124	35
WT.1_filter125	23
WT.1_filter126	109
WT.1_filter127	10
WT.1_filter13	83
WT.1_filter14	40
WT.1_filter15	60
WT.1_filter16	73
WT.1_filter17	48
WT.1_filter18	58
WT.1_filter19	98
WT.1_filter2	54
WT.1_filter20	60
WT.1_filter21	44
WT.1_filter22	64
WT.1_filter23	56
WT.1_filter24	69
WT.1_filter25	52
WT.1_filter26	113
WT.1_filter27	112
WT.1_filter28	30
WT.1_filter29	46
WT.1_filter3	15
WT.1_filter30	5
WT.1_filter31	48
WT.1_filter32	55
WT.1_filter33	33
WT.1_filter34	96
WT.1_filter35	61
WT.1_filter36	47
WT.1_filter37	107
WT.1_filter38	32
WT.1_filter39	24
WT.1_filter4	87
WT.1_filter40	88
WT.1_filter41	100
WT.1_filter42	29
WT.1_filter43	34
WT.1_filter44	13
WT.1_filter45	104
WT.1_filter46	110
WT.1_filter47	95
WT.1_filter48	97
WT.1_filter49	82
WT.1_filter5	45
WT.1_filter50	8
WT.1_filter51	106
WT.1_filter52	101
WT.1_filter53	115
WT.1_filter54	50
WT.1_filter55	51
WT.1_filter56	53
WT.1_filter57	114
WT.1_filter58	9
WT.1_filter59	84
WT.1_filter6	7
WT.1_filter60	22
WT.1_filter61	21
WT.1_filter62	67
WT.1_filter63	108
WT.1_filter64	79
WT.1_filter65	99
WT.1_filter66	27
WT.1_filter67	16
WT.1_filter68	62
WT.1_filter69	67
WT.1_filter7	25
WT.1_filter70	103
WT.1_filter71	1
WT.1_filter72	1
WT.1_filter73	116
WT.1_filter74	89
WT.1_filter75	92
WT.1_filter76	17
WT.1_filter77	5
WT.1_filter78	2
WT.1_filter79	76
WT.1_filter8	94
WT.1_filter80	105
WT.1_filter81	80
WT.1_filter82	65
WT.1_filter83	11
WT.1_filter84	77
WT.1_filter85	8
WT.1_filter86	39
WT.1_filter87	68
WT.1_filter88	41
WT.1_filter89	74
WT.1_filter9	78
WT.1_filter90	90
WT.1_filter91	67
WT.1_filter92	111
WT.1_filter93	72
WT.1_filter94	70
WT.1_filter95	38
WT.1_filter96	4
WT.1_filter97	19
WT.1_filter98	26
WT.1_filter99	86
